nameID,parentNameID,scientificName,scientificNameAuthorship,nameRank,nameUri,isHybrid,genus,specificEpithet,rankIndicator,otherEpithet,subclass,family,acceptance,acceptedNameID,NomenclatureStatusID,NomenclatureStatusName,Symbol
100005,40014053,"Andrographis elongata","T. Anderson",species,http://www.tropicos.org/Name/100005,,Andrographis,elongata,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
1,40037219,"Haptanthus hazlettii","Goldberg & C. Nelson",species,http://www.tropicos.org/Name/1,,Haptanthus,hazlettii,sp.,,Magnoliidae,Buxaceae,A,,,"No opinion",
100006,40014053,"Andrographis neesiana",Wight,species,http://www.tropicos.org/Name/100006,,Andrographis,neesiana,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100001,40030167,"Acanthus ilicifolius",L.,species,http://www.tropicos.org/Name/100001,,Acanthus,ilicifolius,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100002,40030167,"Acanthus pubescens",Engl.,species,http://www.tropicos.org/Name/100002,,Acanthus,pubescens,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100004,40014053,"Andrographis echioides","(L.) Nees",species,http://www.tropicos.org/Name/100004,,Andrographis,echioides,sp.,,Magnoliidae,Acanthaceae,S,100431167,,"No opinion",
100009,100008,"Asystasia chelnoides var. quandrangularis","C.B. Clarke",variety,http://www.tropicos.org/Name/100009,,Asystasia,chelnoides,var.,quandrangularis,Magnoliidae,Acanthaceae,,,,"No opinion",
100011,40021961,"Asystasia dalzelliana",Santapau,species,http://www.tropicos.org/Name/100011,,Asystasia,dalzelliana,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100007,40014053,"Andrographis paniculata","(Burm. f.) Wall.",species,http://www.tropicos.org/Name/100007,,Andrographis,paniculata,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100008,40021961,"Asystasia chelnoides",Nees,species,http://www.tropicos.org/Name/100008,,Asystasia,chelnoides,sp.,,Magnoliidae,Acanthaceae,,,3,Invalid,**
100010,40021961,"Asystasia crispata",Benth.,species,http://www.tropicos.org/Name/100010,,Asystasia,crispata,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100012,40021961,"Asystasia gangetica","(L.) T. Anderson",species,http://www.tropicos.org/Name/100012,,Asystasia,gangetica,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100014,40024916,"Barleria buxifolia",L.,species,http://www.tropicos.org/Name/100014,,Barleria,buxifolia,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100013,40024916,"Barleria acuminata",Wight,species,http://www.tropicos.org/Name/100013,,Barleria,acuminata,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100015,40024916,"Barleria courtallica",Nees,species,http://www.tropicos.org/Name/100015,,Barleria,courtallica,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100017,40024916,"Barleria cuspidata","Heyne ex Nees",species,http://www.tropicos.org/Name/100017,,Barleria,cuspidata,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100016,40024916,"Barleria cristata",L.,species,http://www.tropicos.org/Name/100016,,Barleria,cristata,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100018,40024916,"Barleria gibsonii",Dalzell,species,http://www.tropicos.org/Name/100018,,Barleria,gibsonii,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100019,40024916,"Barleria involucrata",Nees,species,http://www.tropicos.org/Name/100019,,Barleria,involucrata,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100020,100019,"Barleria involucrata var. elata","C.B. Clarke",variety,http://www.tropicos.org/Name/100020,,Barleria,involucrata,var.,elata,Magnoliidae,Acanthaceae,A,,,"No opinion",
100022,40024916,"Barleria prionitis",L.,species,http://www.tropicos.org/Name/100022,,Barleria,prionitis,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100023,40024916,"Barleria strigosa",Willd.,species,http://www.tropicos.org/Name/100023,,Barleria,strigosa,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100025,40028205,"Blepharis asperrima",Nees,species,http://www.tropicos.org/Name/100025,,Blepharis,asperrima,sp.,,Magnoliidae,Acanthaceae,S,100319223,,"No opinion",
100027,40028205,"Blepharis maderaspatensis","(L.) B. Heyne ex Roth",species,http://www.tropicos.org/Name/100027,,Blepharis,maderaspatensis,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
100028,40028205,"Blepharis molluginifolia",Pers.,species,http://www.tropicos.org/Name/100028,,Blepharis,molluginifolia,sp.,,Magnoliidae,Acanthaceae,S,101980,,"No opinion",
100029,40028205,"Blepharis repens",Roth,species,http://www.tropicos.org/Name/100029,,Blepharis,repens,sp.,,Magnoliidae,Acanthaceae,S,101980,,"No opinion",
100030,40002057,"Carvia callosa",Bremek.,species,http://www.tropicos.org/Name/100030,,Carvia,callosa,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100031,40015697,"Crabbea velutina","S. Moore",species,http://www.tropicos.org/Name/100031,,Crabbea,velutina,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100032,40016826,"Crossandra infundibuliformis","(L.) Nees",species,http://www.tropicos.org/Name/100032,,Crossandra,infundibuliformis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100034,40029981,"Dicliptera cuneata",Nees,species,http://www.tropicos.org/Name/100034,,Dicliptera,cuneata,sp.,,Magnoliidae,Acanthaceae,S,100322838,,"No opinion",
100035,40029981,"Dicliptera parvibracteata",Nees,species,http://www.tropicos.org/Name/100035,,Dicliptera,parvibracteata,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100036,40029981,"Dicliptera roxburghiana",Nees,species,http://www.tropicos.org/Name/100036,,Dicliptera,roxburghiana,sp.,,Magnoliidae,Acanthaceae,S,103060,,"No opinion",
100037,40000401,"Dyschoriste depressa",Nees,species,http://www.tropicos.org/Name/100037,,Dyschoriste,depressa,sp.,,Magnoliidae,Acanthaceae,S,100327514,,"No opinion",
100038,40000701,"Ecbolium linneanum","(L.) Kurz",species,http://www.tropicos.org/Name/100038,,Ecbolium,linneanum,sp.,,Magnoliidae,Acanthaceae,S,100327951,,"No opinion",
100039,40002537,"Elytraria acaulis","(L. f.) Lindau",species,http://www.tropicos.org/Name/100039,,Elytraria,acaulis,sp.,,Magnoliidae,Acanthaceae,A,,1,Legitimate,!
