taxonID	locationID	locality	occurrenceStatus	establishmentMeans
14707242	TDWG:NWC-OO	New Caledonia		
14707244	TDWG:NWC-OO	New Caledonia		
14707248	TDWG:FIJ-OO	Fiji		
14707249	TDWG:FIJ-OO	Fiji		
14707253	TDWG:ECU-OO	Ecuador		
14707254	TDWG:ECU-OO	Ecuador		
14707255	TDWG:PER-OO	Peru		
14707256	TDWG:ECU-OO	Ecuador		
14707257	TDWG:ECU-OO	Ecuador		
14707261	TDWG:ECU-OO	Ecuador		
14707262	TDWG:ECU-OO	Ecuador		
14707263	TDWG:NAM-OO	Namibia		
14707272	TDWG:NWC-OO	New Caledonia		
14707273	TDWG:ECU-OO	Ecuador		
14707275	TDWG:ECU-OO	Ecuador		
14707276	TDWG:ECU-OO	Ecuador		
14707277	TDWG:ECU-OO	Ecuador		
14707281	TDWG:GAB-OO	Gabon		
14707321	TDWG:NWC-OO	New Caledonia		
14707328	TDWG:NWC-OO	New Caledonia		
14707412	TDWG:TUR-OO	Turkey		
14707413	TDWG:TUR-OO	Turkey		
14707418	TDWG:TUR-OO	Turkey		
14707419	TDWG:MOR-MO	Morocco		
14707420	TDWG:MOR-MO	Morocco		
14707421	TDWG:MOR-MO	Morocco		
14707423	TDWG:TUR-OO	Turkey		
14707426	TDWG:SPA-SP	Spain		
14707427	TDWG:GRC-OO	Greece		
14707428	TDWG:MOR-MO	Morocco		
14707429	TDWG:PAL-IS	Israel		
14707430	TDWG:PAL-IS	Israel		
14707431	TDWG:TUR-OO	Turkey		
14707432	TDWG:TUR-OO	Turkey		
14707433	TDWG:TUR-OO	Turkey		
14707434	TDWG:LBS-SY	Syria		
14707435	TDWG:TUR-OO	Turkey		
14707436	TDWG:PAL-IS	Israel		
14707437	TDWG:CAL-OO	California		
14707439	TDWG:TUR-OO	Turkey		
14707441	TDWG:PAL-IS	Israel		
14707443	TDWG:GRC-OO	Greece		
14707444	TDWG:PAL-IS	Israel		
14707445	TDWG:GRC-OO	Greece		
14707446	TDWG:TUR-OO	Turkey		
14707447	TDWG:TUR-OO	Turkey		
14707448	TDWG:TUR-OO	Turkey		
14707449	TDWG:TUR-OO	Turkey		
14707450	TDWG:TUR-OO	Turkey		
