taxonID	creator	date	title	description	identifier	type
11468068	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468069	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468070	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468071	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468072	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468073	Ross,J.H.	1974		Bothalia 11:247-57. The genus Elephantorrhiza		taxon
11468076	Ross,J.H.	1975		Mimosoideae.In:Flora Southern Africa Vol.16,pt.1.Ross,J.H.		taxon
11468078	Polhill,R,M.	1990		Legumineuses.In:Flore des Mascareignes,Vol 80.J. Bosser et a		taxon
11468078	Du Puy,D.J. et al.	2002		The Leguminosae of Madagascar. RBG Kew.		taxon
11468079	Polhill,R,M.	1990		Legumineuses.In:Flore des Mascareignes,Vol 80.J. Bosser et a		taxon
11468079	Sanjappa,M.	1992		Legumes of India. Dehra Dun: Bishen Singh Mahendra...		taxon
11468079	Grierson,A.J.C. & Long,D.G.	1987		Flora of Bhutan,Vol.1.(Part 3). Edinburgh: RBG		taxon
11468079	Verdcourt,B.	1979		A Manual of New Guinea Legumes. Office of Forests, Lae,PNG		taxon
11468079	Nielsen,I. & Guinet,P.	1992		Nord.J.Bot.12(1): 85-114. Synopsis of Adenanthera(Mim.)		taxon
11468079	Kostermans,A.J.G.H.	1980		Mimosaceae. In Flora of Ceylon, Vol. 1.M.D. Dassanayalu....		taxon
11468079	Robertson,S.A.	1989		Flowering Plants of Seychelles. Kew		taxon
11468079	Ali,S.I.	1973		Flora of Pakistan,No.36.Mimosaceae.Karachi:Univ.of Karachi		taxon
11468079	Adams,C.D.	1972		Flowering Plants of Jamaica Univ. West Indies, Mona, Jamaica		taxon
11468079	Howard,R.A. et al.	1988		Dicotyledoneae Part 1.Fl. Lesser Antilles Arnold Arboretum		taxon
11468085	Lock,J.M.	1985		Specimen in Herb.Kew		taxon
11468088	Pellegrin,F.	1949		Les Legumineuses du Gabon.Mem.Inst.d'Etudes Centrafr.1		taxon
11468089	Pellegrin,F.	1949		Les Legumineuses du Gabon.Mem.Inst.d'Etudes Centrafr.1		taxon
11468090	Pellegrin,F.	1949		Les Legumineuses du Gabon.Mem.Inst.d'Etudes Centrafr.1		taxon
11468091	Pellegrin,F.	1949		Les Legumineuses du Gabon.Mem.Inst.d'Etudes Centrafr.1		taxon
11468094	Polhill,R,M.	1990		Legumineuses.In:Flore des Mascareignes,Vol 80.J. Bosser et a		taxon
11468094	Sanjappa,M.	1992		Legumes of India. Dehra Dun: Bishen Singh Mahendra...		taxon
11468094	Du Puy,D.J. et al.	2002		The Leguminosae of Madagascar. RBG Kew.		taxon
11468094	Wu,T.L.	1988		Mimososoideae. In: Fl.Reip.Pop.Sinicae, 39 (Leguminosae 1)		taxon
11468094	Kostermans,A.J.G.H.	1980		Mimosaceae. In Flora of Ceylon, Vol. 1.M.D. Dassanayalu....		taxon
11468094	Robertson,S.A.	1989		Flowering Plants of Seychelles. Kew		taxon
11468094	Ali,S.I.	1973		Flora of Pakistan,No.36.Mimosaceae.Karachi:Univ.of Karachi		taxon
11468094	Shimabuku,K.	1990		Check List Vascular Flora of the Ryukyu Is. Hirugi-sha,Naha.		taxon
11468094	Schery,R.W.	1950		Ann.Missouri Bot.Gard.37(2):184-314 Leguminosae-Mimosoideae		taxon
11468094	Adams,C.D.	1972		Flowering Plants of Jamaica Univ. West Indies, Mona, Jamaica		taxon
11468094	Luckow,M.	1993		Syst.Bot.Monogr. 38:1-166 Mono.of Desmanthus(Legum-Mim)		taxon
11468094	Ross,J.H.	1975		Mimosoideae.In:Flora Southern Africa Vol.16,pt.1.Ross,J.H.		taxon
