taxonID	habitat
11468015	terrestrial
11468016	terrestrial
11468017	terrestrial
11468018	terrestrial
11468019	terrestrial
11468020	terrestrial
11468021	terrestrial
11468022	terrestrial
11468023	terrestrial
11468024	terrestrial
11468025	terrestrial
11468026	terrestrial
11468027	terrestrial
11468028	terrestrial
11468029	terrestrial
11468030	terrestrial
11468031	terrestrial
11468032	terrestrial
11468033	terrestrial
11468034	terrestrial
11468035	terrestrial
11468036	terrestrial
11468037	terrestrial
11468038	terrestrial
11468039	terrestrial
11468040	terrestrial
11468041	terrestrial
11468042	terrestrial
11468043	terrestrial
11468044	terrestrial
11468051	terrestrial
11468052	terrestrial
11468053	terrestrial
11468054	terrestrial
11468055	terrestrial
11468056	terrestrial
11468057	terrestrial
11468058	terrestrial
11468059	terrestrial
11468060	terrestrial
11468061	terrestrial
11468062	terrestrial
11468063	terrestrial
11468064	terrestrial
11468065	terrestrial
11468066	terrestrial
11468067	terrestrial
11468068	terrestrial
11468069	terrestrial
11468070	terrestrial
11468071	terrestrial
11468072	terrestrial
11468073	terrestrial
11468074	terrestrial
11468075	terrestrial
11468076	terrestrial
11468077	terrestrial
11468078	terrestrial
11468079	terrestrial
11468080	terrestrial
11468081	terrestrial
11468082	terrestrial
11468083	terrestrial
11468084	terrestrial
11468085	terrestrial
11468086	terrestrial
11468087	terrestrial
11468088	terrestrial
11468089	terrestrial
11468090	terrestrial
11468091	terrestrial
11468092	terrestrial
11468093	terrestrial
11468094	terrestrial
11468095	terrestrial
11468096	terrestrial
11468097	terrestrial
11468098	terrestrial
11468099	terrestrial
11468100	terrestrial
11468101	terrestrial
11468102	terrestrial
11468103	terrestrial
11468104	terrestrial
11468105	terrestrial
11468106	terrestrial
11468107	terrestrial
11468108	terrestrial
11468109	terrestrial
11468110	terrestrial
11468111	terrestrial
11468112	terrestrial
11468113	terrestrial
11468114	terrestrial
11468115	terrestrial
11468116	terrestrial
11468117	terrestrial
11468118	terrestrial
11468119	terrestrial
11468120	freshwater
11468120	terrestrial
11468121	terrestrial
11468122	terrestrial
11468123	terrestrial
11468124	terrestrial
11468125	terrestrial
11468126	brackish
11468126	freshwater
11468127	terrestrial
11468128	terrestrial
11468129	terrestrial
11468130	terrestrial
11468131	terrestrial
11468132	terrestrial
11468133	terrestrial
11468134	terrestrial
11468135	terrestrial
11468136	terrestrial
11468137	terrestrial
11468138	terrestrial
11468139	terrestrial
11468140	terrestrial
11468141	terrestrial
11468142	terrestrial
11468143	terrestrial
11468144	terrestrial
11468145	terrestrial
11468146	terrestrial
11468147	terrestrial
11468148	terrestrial
11468149	terrestrial
11468150	terrestrial
11468151	terrestrial
11468152	terrestrial
11468153	terrestrial
11468154	terrestrial
11468155	terrestrial
11468156	terrestrial
11468157	terrestrial
11468158	terrestrial
11468159	terrestrial
11468160	terrestrial
11468161	terrestrial
11468162	terrestrial
11468163	terrestrial
11468164	terrestrial
11468165	terrestrial
11468166	terrestrial
11468167	terrestrial
11468168	terrestrial
11468169	terrestrial
11468170	terrestrial
11468171	terrestrial
11468172	terrestrial
11468173	terrestrial
11468174	terrestrial
11468175	terrestrial
11468176	terrestrial
11468177	terrestrial
11468178	terrestrial
11468179	terrestrial
11468180	terrestrial
11468181	terrestrial
11468182	terrestrial
11468183	terrestrial
11468184	terrestrial
11468185	terrestrial
11468186	terrestrial
11468187	terrestrial
11468188	terrestrial
11468189	terrestrial
11468190	terrestrial
11468191	terrestrial
11468192	terrestrial
11468193	terrestrial
11468194	terrestrial
11468195	terrestrial
11468196	terrestrial
11468197	terrestrial
11468198	terrestrial
11468199	terrestrial
11468200	terrestrial
11468201	terrestrial
11468202	terrestrial
11468203	terrestrial
11468204	terrestrial
11468205	terrestrial
11468206	terrestrial
11468207	terrestrial
11468208	terrestrial
11468209	terrestrial
11468210	terrestrial
11468211	terrestrial
11468212	terrestrial
11468233	terrestrial
11468234	terrestrial
11468235	terrestrial
11468317	terrestrial
11468318	terrestrial
11468319	terrestrial
11468320	terrestrial
11468321	terrestrial
11468322	terrestrial
11468323	terrestrial
11468324	terrestrial
11468325	terrestrial
11468326	terrestrial
11468327	terrestrial
11468328	terrestrial
11468329	terrestrial
11468330	terrestrial
11468331	terrestrial
11468333	terrestrial
11468334	terrestrial
11468337	terrestrial
11468338	terrestrial
11468339	terrestrial
11468340	terrestrial
11468341	terrestrial
11468342	terrestrial
11468343	terrestrial
11468344	terrestrial
11468345	terrestrial
11468346	terrestrial
11468347	terrestrial
11468348	terrestrial
11468349	terrestrial
11468350	terrestrial
11468351	terrestrial
11468352	terrestrial
11468353	terrestrial
11468354	terrestrial
11468355	terrestrial
11468356	terrestrial
11468357	terrestrial
11468358	terrestrial
11468359	terrestrial
11468360	terrestrial
11468361	terrestrial
11468362	terrestrial
11468363	terrestrial
11468364	terrestrial
11468365	terrestrial
11468366	terrestrial
11468367	terrestrial
11468368	terrestrial
11468369	terrestrial
11468370	terrestrial
11468371	terrestrial
11468372	terrestrial
11468373	terrestrial
11468374	terrestrial
11468375	terrestrial
11468376	terrestrial
11468377	terrestrial
11468378	terrestrial
