taxonID	vernacularName	language	countryCode	locality	transliteration
11468078	Fana		MG	Madagascar	
11468078	Fany		MG	Madagascar	
11468078	Fano		MG	Madagascar	
11468078	Fanou		MG	Madagascar	
11468079	Bois Noir a Graines Rouges	French			
11468079	Oeil De Paon		MG	Madagascar	
11468079	Corail Vegetale	French			
11468079	L'Eglise	French			
11468079	Arbre a Eglise	French			
11468079	Dilmawi				
11468079	Jumbi Bead	English			
11468079	Deleite				
11468079	Peonia				
11468079	Acacia Coral	English			
11468079	Coralitos				
11468079	Delicia				
11468079	Curly Bean	English			
11468079	Red Bead Tree	English			
11468079	Circassian Seed	English			
11468079	Red Sandalwood	English			
11468079	Bois Noir a la Graine	French			
11468079	Bois Noir de Bourbon	French			
11468079	Lagati				
11468079	Bois Noir Rouge	French			
11468079	Agati Petite Feuille	French			
11468079	Red Sandalwood Tree	English			
11468079	Coral Wood	English			
11468079	Bead Tree	English			
11468079	Pitipitio				
11468079	Paina				
11468079	Popoa				
11468079	Peacock Flower-fence	English			
11468079	Agati	French			
11468079	Peonia Extranjera				
11468079	Reglisse	French			
11468079	Lera				
11468079	Pomea				
11468079	Vaivai Ni Vavalagi				
11468079	Graine-reglisse	French			
11468079	Kafe Bonara		MG	Madagascar	
11468079	Bonaramena		MG	Madagascar	
11468079	Conori		MG	Madagascar	
11468079	Circassian Bean				
11468079	Boir Noir de Bourbon	French			
11468079	Boir Noir a la Graine	French			
11468079	Boir Noir a Graines Rouges	French			
11468079	Boir Noir Rouge	French			
11468093	Denya				
11468093	Okan				
11468094	Frijolillo				
11468094	Guajillo		MX	Mexico	
11468094	Guashillo				
11468094	Ground Tamarind	English			
11468094	Huarangillo				
11468094	Adormidera				
11468094	Langalet				
11468094	Brusca Prieta				
11468094	Virgate Mimosa	English			
11468094	Petit Cassie	French			
11468094	Petit Mimosa	French			
11468094	Petit Acacia	French			
11468094	Dwarf Koa				
11468095	Aroma	Spanish	PA	Panama	
11468095	Marabu				
11468095	Acacia Saint Dominique				
11468098	Elandsboontjie				
11468101	Liane Cacorne	English			
11468101	Water Vine	English			
11468101	Habilla				
11468101	Sea Heart	English			
11468101	Cacoon				
11468101	Chocho				
11468101	Caracol				
11468101	Cacorne				
11468101	Samo				
11468103	Sarivobomorona		MG	Madagascar	
11468103	Sikidy		MG	Madagascar	
11468103	Vahikosy		MG	Madagascar	
11468103	Vohitoikidy		MG	Madagascar	
11468112	Guaje				
11468112	Guaje Rojo				
11468112	Guaje Colorado				
11468112	Guashi				
11468112	Carne De Venado				
11468112	Guaje Grande				
11468112	Guaje Mihuateco				
11468112	Guashe				
11468113	Cassie	English			
11468113	Lead Tree	English			
11468113	Guaje				
11468113	Wild Tamarind	English			
11468113	Mimosa	English			
11468113	Lino				
11468113	Tamarindillo				
11468113	Hediondilla				
11468113	Shack-shack				
11468113	Jumbie Bean	English			
11468113	Macata				
11468113	Granadillo Bobo				
11468113	Petai Jawa				
11468113	Petai Belanda				
11468113	Phak Kan Thin				
11468113	Phak Nong Bok				
11468113	Kaset Khok				
11468113	Sato Bao				
11468113	Petai Tiga Bulan				
11468113	Jimbay				
11468113	Cowbush	English			
11468113	Jump-and-go	English			
11468113	Cassie Blanc				
11468113	Graines De Lin				
11468113	Zarcilla				
11468113	Aroma Mansa				
11468113	Aroma Boba				
11468113	Panelo				
11468113	White Popinac				
11468113	Grains de Lin Pays	French			
11468113	Bois-lolo				
11468113	Monval				
11468113	Macata Blanca				
11468113	Tumbarabu				
11468113	Acacie	French			
11468113	Gros-Cassie	French			
11468113	Granolino				
11468113	Granadino				
11468113	Ipil Ipil				
11468113	Leucaena				
11468113	Tchia-tchia Marron				
11468113	Lino Criollo				
11468113	Bois Bourro				
11468113	Barba De Leon				
11468113	Uaxim				
11468113	Aroma Blanca				
11468113	Tantan				
11468113	Tamarin Batard	French			
11468113	Popinac				
11468113	Kra Thin				
11468114	Palo seco				
11468114	Guaje				
11468114	Guajillo		MX	Mexico	
11468114	Timbre				
11468114	Tze				
11468114	Barba De Chivo				
11468114	Guache				
11468114	Tepeguaje				
11468114	Huaxe				
11468114	Guache De Monte				
11468114	Huash				
11468114	Liliakiwi				
11468114	Thuk				
11468114	Tzuqui				
11468114	Guaje De Monte				
11468118	Romeny		MG	Madagascar	
11468118	Roiky		MG	Madagascar	
11468118	Rakavaka		MG	Madagascar	
11468118	Fihinakamijaja		MG	Madagascar	
11468120	Roy		MG	Madagascar	
11468120	Carbon				
11468120	Una-de-gato	Spanish	MX	Mexico	
11468120	Zarza		096	Central America	
11468120	Dormilona				
11468120	Amourette	French			
11468120	Zamourette				
11468120	Bambuco				
11468120	Espina De Vaca				
11468120	Trupilla				
11468120	Pingahuisacha				
11468120	Rouitibe		MG	Madagascar	
11468120	Carpinchera				
11468120	Roitia		MG	Madagascar	
